match,teamInnings,battingPos,batsmanName,runs,balls,4s,6s,SR,out/not_out,mach_id
Namibia Vs Sri Lanka,Namibia,1,Michel vn Lingen,3,6,0,0,50.00,out,T20I # 1823
Namibia Vs Sri Lanka,Namibia,2,Divn l Cock,9,9,1,0,100.00,out,T20I # 1823
Namibia Vs Sri Lanka,Namibia,3,Jn Nicol Loftie-Eton,20,12,1,2,166.66,out,T20I # 1823
Namibia Vs Sri Lanka,Namibia,4,Stephn Brd,26,24,2,0,108.33,out,T20I # 1823
Namibia Vs Sri Lanka,Namibia,5,Gerhrd Ersmus(c),20,24,0,0,83.33,out,T20I # 1823
Namibia Vs Sri Lanka,Namibia,6,Jn Frylinck,44,28,4,0,157.14,out,T20I # 1823
Namibia Vs Sri Lanka,Namibia,7,Dvid Wiese,0,1,0,0,0.00,out,T20I # 1823
Namibia Vs Sri Lanka,Namibia,8,JJ Smit,31,16,2,2,193.75,not_out,T20I # 1823
Namibia Vs Sri Lanka,Sri Lanka,1,Pthum Nissnk,9,10,1,0,90.00,out,T20I # 1823
Namibia Vs Sri Lanka,Sri Lanka,2,Kusl Mendis,6,6,0,0,100.00,out,T20I # 1823
Namibia Vs Sri Lanka,Sri Lanka,3,Dhnnjy de Silv,12,11,1,0,109.09,out,T20I # 1823
Namibia Vs Sri Lanka,Sri Lanka,4,Dnushk Gunthilk,0,1,0,0,0.00,out,T20I # 1823
Namibia Vs Sri Lanka,Sri Lanka,5,Bhnuk Rjpks,20,21,2,0,95.23,out,T20I # 1823
Namibia Vs Sri Lanka,Sri Lanka,6,Dsun Shnk(c),29,23,2,1,126.08,out,T20I # 1823
Namibia Vs Sri Lanka,Sri Lanka,7,Wnindu Hsrng de Silv,4,8,0,0,50.00,out,T20I # 1823
Namibia Vs Sri Lanka,Sri Lanka,8,Chmik Krunrtne,5,8,0,0,62.50,out,T20I # 1823
Namibia Vs Sri Lanka,Sri Lanka,9,Prmod Mdushn,0,0,0,0,-,out,T20I # 1823
Namibia Vs Sri Lanka,Sri Lanka,10,Dushmnth Chmeer,8,15,0,0,53.33,out,T20I # 1823
Namibia Vs Sri Lanka,Sri Lanka,11,Mheesh Theekshn,11,11,0,1,100.00,not_out,T20I # 1823
U.A.E. Vs Netherlands,U.A.E.,1,Chirg Suri,12,20,1,0,60.00,out,T20I # 1825
U.A.E. Vs Netherlands,U.A.E.,2,Muhmmd Wseem,41,47,1,2,87.23,out,T20I # 1825
U.A.E. Vs Netherlands,U.A.E.,3,Kshif Dud,15,14,0,1,107.14,out,T20I # 1825
U.A.E. Vs Netherlands,U.A.E.,4,Vriity Arvind,18,21,0,0,85.71,out,T20I # 1825
